country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,av_bible_studies,memorial_attendance
Rwanda,13372000,31541,449,29794,1,1240,5103,562,33913,76441
Saba,2000,17,154,13,8,,3,,12,71
St. Barthélemy,11000,34,344,32,-9,,5,1,20,61
St. Eustatius,3000,34,111,27,,,5,1,31,61
St. Helena,4000,116,36,112,5,2,,3,32,283
St. Kitts,40000,225,183,219,-1,3,30,3,190,721
St. Lucia,185000,806,237,780,1,,120,11,776,2334
St. Maarten,44000,344,134,328,1,10,42,4,264,1007
St. Martin,32000,291,116,277,-1,5,30,5,329,844
St. Pierre and Miquelon,6000,15,400,15,7,,6,1,4,21
St. Vincent &amp; the Grenadines,112000,293,394,284,-2,2,46,8,297,958
Saipan,48000,226,219,219,,4,46,3,227,564
Samoa,203000,545,393,517,-3,16,108,12,542,2748
San Marino,34000,191,180,189,-1,,41,2,83,312
São Tomé and Príncipe,227000,907,254,895,-2,22,153,14,1763,3532
Senegal,17654000,1461,12285,1437,2,13,192,29,1802,3051
Serbia,6797000,3764,1829,3716,-2,72,700,61,2152,7254
Seychelles,107000,371,301,356,-1,16,42,5,480,1181
Sierra Leone,8306000,2525,3721,2232,-2,79,304,41,3488,7252
Slovakia,5439000,11250,488,11137,,211,1106,133,3602,23373
Slovenia,2106000,1731,1224,1721,-1,14,254,28,769,2847
Solomon Islands,721000,1631,477,1510,-1,14,186,49,1027,9317
South Africa,60605000,97639,629,96385,,1953,13591,1999,69207,228102
South Sudan,11619000,1677,7308,1590,6,56,216,33,2083,5289
Spain,46719000,120614,389,119965,1,1847,23736,1416,37022,198162
Sri Lanka,22156000,7136,3130,7078,1,155,1207,100,7631,16020
Sudan,45992000,666,72201,637,-3,26,121,13,839,1836
Suriname,592000,3649,185,3194,2,130,377,56,3426,10209
Sweden,10482000,22464,469,22346,,220,2871,281,7242,34365
Switzerland,8737000,19462,451,19380,,218,2009,258,6605,31115
Tahiti,280000,3251,88,3171,,44,497,45,2756,10300
Taiwan,23186000,11375,2047,11325,,299,3924,179,8620,20804
Tanzania,63299000,19998,3365,18809,5,547,2137,416,22384,54088
Thailand,70078000,5248,13453,5209,,153,1932,142,3592,9548
Timor-Leste,1369000,397,3622,378,2,13,94,5,442,1152
Tinian,3000,10,300,10,,,1,1,12,30
Togo,8681000,22500,399,21780,2,588,2590,349,26650,54625
Tonga,108000,211,548,197,9,5,41,3,216,647
Trinidad &amp; Tobago,1407000,10623,133,10557,1,192,1578,130,8825,27960
Turkey,85562000,5438,16132,5304,6,110,1928,70,2546,9244
Turks and Caicos,40000,352,125,319,-5,,58,7,296,976
Tuvalu,12000,97,245,49,-22,,3,1,42,210
Uganda,44900000,9262,4942,9085,1,419,1208,167,17855,28907
Ukraine,41130000,127378,335,122694,-4,1941,18592,1429,32037,211528
United States of America,334805000,1238431,272,1230463,-1,16200,229730,12040,453281,2344212
Uruguay,3496000,11960,294,11878,-2,193,1885,149,10564,25010
Vanuatu,322000,635,530,607,-15,19,99,13,734,3584
Venezuela,28705000,131634,221,130055,-2,2758,31316,1714,69536,355695
Virgin Islands British,31000,218,146,213,-5,,30,4,140,765
Virgin Islands U.S.,104000,592,200,521,-2,1,108,8,487,1289
Wallis &amp; Futuna Islands,11000,66,175,63,,2,6,1,41,212
Yap,12000,34,387,31,,2,7,1,68,132
Zambia,18921000,215382,99,191372,5,4770,18034,3529,245959,864131
Zimbabwe,15179000,45582,355,42810,2,730,7190,1036,43528,105824
33 Other Lands,,209245,,208099,-0.5,4913,44286,2810,89457,327548
