country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,av_bible_studies,memorial_attendance
Albania,2866000,5577,518,5531,-1,112,1363,83,4156,12106
American Samoa,55000,154,420,131,-9,,32,3,202,647
Andorra,77000,169,461,167,-1,,23,3,92,331
Angola,35027000,159384,226,154953,3,3273,25609,2539,247508,485484
Anguilla,15000,67,259,58,5,,11,1,52,208
Antigua,100000,478,215,466,1,,41,7,332,1244
Argentina,47327000,155443,308,153787,-2,2869,35977,1945,100541,345669
Armenia,2964000,11191,267,11093,-1,192,2259,135,3903,26543
Aruba,108000,1127,98,1100,-1,15,139,14,695,2978
Australia,26069000,71355,369,70663,1,1047,9485,739,20388,113915
Austria,8979000,21966,412,21788,1,231,2209,287,6804,34282
Azerbaijan,10156000,1674,6118,1660,2,77,451,18,2551,3647
Azores,236000,802,298,791,-1,14,131,15,465,1685
Bahamas,401000,1868,231,1737,-1,28,277,28,1686,4351
Bangladesh,170298000,338,509874,334,2,7,140,6,481,1048
Barbados,288000,2389,122,2360,-1,38,191,30,2016,6732
Belarus,9433000,6167,1546,6100,-1,125,1475,83,4516,11784
Belgium,11584000,25970,448,25835,,334,2441,336,10646,44337
Belize,441000,2614,174,2539,-1,49,487,54,2066,8317
Benin,12782000,14202,953,13410,2,380,1841,246,17068,38932
Bermuda,62000,443,159,389,-3,,73,5,172,963
Bolivia,11993000,29268,411,29147,-1,559,8269,448,25747,83177
Bonaire,22000,138,183,120,3,,25,2,71,352
Bosnia and Herzegovina,3249000,1011,3285,989,-4,8,188,16,382,1574
Botswana,2346000,2345,1026,2286,1,73,344,43,3000,5913
Brazil,214886000,909879,238,902121,,15338,173032,12439,709982,1808720
Britain,65954000,139960,474,139106,1,1665,19696,1614,42225,220438
Bulgaria,6845000,2724,2558,2676,1,83,725,58,1600,5958
Burkina Faso,22103000,1944,12813,1725,1,36,232,48,1784,4251
Burundi,12625000,17019,767,16460,5,575,2585,281,24765,53130
Cambodia,16681000,1125,15082,1106,-2,32,554,17,945,2047
Cameroon,27912000,43217,660,42315,1,791,5863,499,32287,89171
Canada,38388000,118607,325,118004,,1399,16980,1177,44174,188701
Cape Verde,568000,2296,251,2265,,52,397,35,2222,7336
Cayman Islands,67000,280,251,267,-1,,41,3,147,638
Central African Republic,5017000,2661,2053,2444,4,61,265,65,4021,16500
Chad,17414000,806,22734,766,-1,30,93,22,866,3501
Chile,19829000,86746,230,86316,,1301,20069,955,44009,218637
Chuuk,54000,32,2000,27,-13,,8,2,61,180
Colombia,51513000,188219,278,185586,-2,3187,31715,2267,142917,568136
Congo Dem. Republic of,95241000,223678,437,217977,8,5173,20239,4037,335763,1107590
Congo Republic of,5798000,8556,707,8200,2,194,1250,116,12653,25093
Cook Islands,18000,211,90,199,1,2,27,3,122,500
Costa Rica,5213000,32504,161,32290,,546,4275,435,23398,72360
Côte d’Ivoire,29389000,11877,2521,11657,,255,1577,231,19033,37361
Croatia,4069000,4736,867,4693,-2,40,462,57,1123,7218
Cuba,11113000,91710,123,90315,-3,1216,8932,1399,38669,166891
Curaçao,166000,2040,83,1991,-1,40,254,25,1420,5629
Cyprus,1224000,2960,421,2908,3,28,571,40,1355,5178
Czech Republic,10520000,15957,678,15518,1,143,1567,212,5541,29183
Denmark,5884000,14534,407,14470,,129,1316,174,3906,20688
Dominica,76000,439,189,403,-1,,56,10,408,1215
Dominican Republic,11056000,40149,290,38131,-1,578,7580,539,41581,115138
Ecuador,18113000,100090,182,99399,-1,1908,21404,1204,84545,294770
El Salvador,6550000,38717,172,38016,-2,407,5043,654,19313,84039
Equatorial Guinea,1497000,2411,643,2327,-3,68,312,31,3554,6803
Estonia,1331000,4018,335,3976,,48,643,55,1732,6853
Eswatini,1185000,3305,372,3186,,64,371,76,3241,7896
Ethiopia,120813000,11074,11046,10937,1,218,2391,183,10712,24477
Falkland Islands,4000,16,250,16,14,,5,1,12,20
Faroe Islands,54000,135,412,131,2,1,27,4,57,184
Fiji,909000,3186,301,3023,-2,95,513,62,3205,12452
Finland,5548000,18108,307,18068,,155,2429,275,9689,26435
France,64663000,136419,476,135723,1,2026,20092,1477,47209,228072
French Guiana,305000,2933,105,2892,-2,66,563,45,3908,10154
Gabon,2332000,4460,535,4356,,108,592,59,4784,11657
Gambia,2558000,280,9545,268,3,7,44,5,339,582
Georgia,3689000,18782,198,18653,1,278,3695,224,4677,34969
Germany,83237000,170491,498,167230,1,2209,18808,2020,47374,267452
Ghana,32395000,149275,220,147047,,4221,16131,2396,245305,322892
Gibraltar,34000,159,248,137,12,,23,2,25,179
Greece,10432000,27995,374,27887,-1,420,4658,354,8041,43608
Greenland,57000,129,456,125,-8,2,32,5,73,297
Grenada,113000,553,214,528,,10,80,9,455,1470
Guadeloupe,396000,8534,48,8323,1,118,951,118,6211,20016
Guam,172000,742,236,730,-3,14,181,9,571,1892
Guatemala,18584000,39452,477,38974,-2,512,6614,852,23370,98300
Guinea,13866000,1150,12663,1095,1,36,156,25,1844,3913
Guinea-Bissau,2063000,207,10634,194,-3,8,49,4,443,592
Guyana,794000,3337,242,3284,-1,53,532,47,3447,12471
Haiti,11680000,18234,657,17774,-5,281,2556,271,20714,64155
Honduras,9611000,22324,439,21891,-3,253,4234,429,15131,60259
Hong Kong,7292000,5510,1331,5477,-2,147,1361,66,4405,13484
Hungary,9689000,21180,462,20959,1,314,2070,288,6863,39452
Iceland,377000,399,964,391,2,9,63,7,185,686
India,1406632000,56747,25038,56181,3,2817,9634,947,52177,152011
Indonesia,279135000,30306,9345,29869,1,716,5721,476,19773,60144
Ireland,8859000,7533,1207,7341,2,126,1465,121,2519,12561
Israel,9676000,2067,4797,2017,1,28,395,33,1214,3670
Italy,60263000,250624,241,250116,,3181,47826,2843,90566,426019
Jamaica,2985000,11124,274,10906,-1,169,1527,152,8236,35992
Japan,125194000,214359,585,213828,,1858,69606,2893,74891,310692
Kazakhstan,19205000,17259,1122,17124,-1,283,4500,232,8070,30324
Kenya,56215000,29534,1990,28243,2,536,3578,623,27036,68579
Kiribati,123000,91,1482,83,-17,6,24,2,87,441
Korea Republic of,51574000,105977,488,105629,1,1169,50279,1261,36678,138655
Kosovo,1795000,244,7479,240,-2,4,107,8,257,491
Kosrae,8000,13,1000,8,-33,,4,1,12,56
Kyrgyzstan,6747000,5097,1336,5050,-3,87,1372,89,2480,10054
Latvia,1893000,2101,916,2067,-1,27,367,30,1140,3537
Lesotho,2176000,3729,601,3619,-1,103,545,82,2991,8348
Liberia,5305000,7391,792,6702,,235,771,141,14351,28935
Liechtenstein,39000,94,429,91,5,,7,1,26,157
Lithuania,2806000,2924,982,2857,,40,443,40,1194,4895
Luxembourg,645000,2188,297,2170,-1,,254,30,945,4054
Macao,677000,404,1718,394,-2,18,128,6,529,1122
Madagascar,29178000,35748,863,33800,2,975,6548,826,51947,129313
Madeira,251000,1203,212,1185,1,20,141,19,310,1829
Malawi,20181000,108044,220,91694,3,2823,7827,1831,84846,305182
Malaysia,32700000,5637,5849,5591,,178,1569,121,4252,12301
Mali,21474000,365,61530,349,1,6,63,6,622,982
Malta,521000,874,627,831,4,11,140,11,277,1368
Marshall Islands,60000,147,504,119,2,,30,4,168,708
Martinique,368000,5050,74,4945,,87,700,57,3881,11315
Mauritius,1255000,2158,597,2103,4,52,308,27,2215,5575
Mayotte,326000,171,2233,146,-3,3,55,3,185,306
Mexico,131563000,864689,154,856224,-1,10832,144181,12881,479281,2208399
Moldova,3161000,18301,174,18154,-1,424,2551,201,10650,34957
Mongolia,3373000,437,7993,422,-3,11,190,8,855,1365
Montenegro,629000,341,1918,328,2,5,97,7,139,884
Montserrat,5000,36,143,35,-3,,14,1,46,132
Mozambique,31616000,81719,427,73993,7,2728,6854,1551,87042,286696
Myanmar,55680000,5115,10952,5084,1,211,902,91,4339,11670
Namibia,2634000,2558,1055,2496,-2,102,320,46,3372,7539
Nauru,11000,18,688,16,7,,2,1,9,100
Nepal,29192000,2823,10415,2803,1,96,869,43,2735,7529
Netherlands,17714000,29240,609,29078,1,340,2688,353,9175,49218
Nevis,14000,74,197,71,,,5,1,51,249
New Caledonia,271000,2636,105,2573,-1,96,317,36,2436,7265
New Zealand,4898000,14669,337,14542,1,231,1924,170,5399,26131
Nicaragua,6779000,29326,235,28857,-1,450,4853,471,19752,81225
Niger,26084000,346,85521,305,7,5,44,9,293,804
Nigeria,216747000,389961,616,351732,8,4521,40227,6081,347454,742933
Niue,2000,22,100,20,,,3,1,9,74
North Macedonia,1837000,1259,1478,1243,-1,15,201,24,635,2859
Norway,5436000,11877,461,11794,,109,1419,163,3606,17681
Pakistan,229489000,1154,209579,1095,3,83,62,16,633,3615
Palau,18000,73,269,67,-8,,24,2,113,164
Palestinian Territories,5599000,62,91787,61,3,,12,2,58,131
Panama,4447000,18414,243,18291,-1,295,3357,317,12803,57464
Papua New Guinea,9292000,5197,1987,4677,-8,131,710,91,5367,35414
Paraguay,7306000,11164,664,10996,-2,271,2273,197,9226,25946
Peru,33397000,131346,258,129198,-1,2499,30457,1551,133339,420405
Philippines,112509000,238609,482,233488,2,7228,51854,3511,159420,664989
Pohnpei,37000,60,698,53,-4,,17,1,63,138
Poland,38180000,114673,337,113276,1,1054,10200,1272,27664,191572
Portugal,9858000,51334,193,51116,1,676,6147,656,17137,86422
Puerto Rico,2830000,23170,123,22980,-1,238,4009,230,8390,45579
Réunion,974000,3468,284,3426,,77,599,41,1942,6686
Rodrigues,44000,70,667,66,2,2,13,1,78,215
Romania,19202000,39444,488,39350,,656,5532,533,19731,79758
Rota,3000,5,750,4,,,2,,2,8
