country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,av_bible_studies,memorial_attendance
Ukraine,41443000,129143,323,128442,1,1878,18181,1489,40535,264176
United States of America,332915000,1255657,268,1242370,3,19627,196999,12163,501328,2461094
Uruguay,3485000,12160,289,12078,1,204,1583,149,11850,29798
Vanuatu,314000,838,439,715,1,23,121,17,951,4114
Venezuela,28705000,134894,215,133366,,3494,30987,1734,81016,412096
Virgin Islands British,30000,241,133,225,6,,31,4,171,923
Virgin Islands U.S.,104000,579,195,534,1,12,109,8,534,1539
Wallis &amp; Futuna Islands,11000,74,175,63,7,1,6,1,53,184
Yap,11000,33,355,31,3,,8,1,65,142
Zambia,18384000,191982,101,182499,-9,5421,17717,3519,227111,779219
Zimbabwe,15100000,43059,360,41898,-7,642,7182,1094,40372,126234
33 Other Lands,,211597,,209160,0.8,5339,41937,2834,93138,327616
