country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,memorial_attendance
Palau,18000,95,231,78,1,4,15,2,209
Palestinian Territories,5101000,60,89491,57,-5,,7,2,173
Panama,4315000,18413,241,17911,1,494,3091,326,48448
Papua New Guinea,8947000,5479,1751,5111,7,367,688,115,38787
Paraguay,7152703,11051,653,10958,2,348,2039,226,25792
Peru,32626000,133170,252,129692,1,3441,29041,1598,355914
Philippines,109581000,232587,486,225339,2,8268,49859,3529,562828
Pohnpei,37000,60,673,55,6,2,19,1,120
Poland,38383000,113980,345,111178,-3,999,8481,1274,170188
Portugal,9799000,50022,198,49561,1,887,5073,653,81797
Puerto Rico,2861000,23605,125,22888,-1,454,3675,237,42544
Réunion,895000,3413,268,3338,1,84,475,42,6265
Rodrigues,43000,76,662,65,14,2,12,1,156
Romania,19238000,39328,491,39174,,568,4207,535,74363
Rota,3000,6,600,5,-38,,1,1,10
Rwanda,12663000,31397,425,29790,2,780,5367,570,69208
Saba,2000,16,154,13,8,,4,,24
St. Barthélemy,10000,38,294,34,21,,6,1,72
St. Eustatius,3000,27,115,26,-4,,3,1,65
St. Helena,5000,113,48,104,-5,2,,3,178
St. Kitts,36000,220,168,214,,2,30,3,565
St. Lucia,184000,811,237,776,-1,11,113,11,1709
St. Maarten,43000,332,136,316,-2,12,39,4,860
St. Martin,39000,288,143,273,5,4,28,5,716
St. Pierre and Miquelon,6000,14,462,13,30,,7,1,19
St. Vincent &amp; the Grenadines,111000,318,380,292,-6,8,42,8,665
Saipan,48000,235,216,222,3,7,43,3,443
Samoa,199000,542,413,482,-9,19,100,12,1975
San Marino,34000,194,177,192,-3,,47,2,483
São Tomé and Príncipe,210000,929,236,888,-1,55,141,14,2255
Senegal,16744000,1400,12412,1349,1,35,184,33,2489
Serbia,6964000,3837,1849,3766,-2,79,650,63,7288
Seychelles,98000,363,287,341,5,10,37,5,976
Sierra Leone,7977000,2520,3464,2303,1,182,325,43,5379
Slovakia,5460000,11061,499,10938,-1,222,900,133,21216
Slovenia,2097000,1775,1200,1748,-3,13,243,30,2610
Solomon Islands,687000,2039,376,1825,-4,111,217,50,10704
South Africa,59620000,105133,609,97892,-5,3441,13093,2070,215285
South Sudan,11213000,1515,7975,1406,3,87,202,33,4112
Spain,46755000,117236,401,116590,1,2047,18233,1470,206434
Sri Lanka,21413000,6781,3210,6670,2,260,828,112,16122
Sudan,43849000,672,71766,611,-4,50,131,14,1602
Suriname,587914,3144,193,3043,-2,127,346,57,8124
Sweden,10352000,22333,467,22146,,301,2510,285,32068
Switzerland,8665000,19082,459,18888,-1,301,1488,268,30068
Tahiti,282000,3255,89,3186,-2,87,476,46,8917
Taiwan,23579000,11379,2084,11314,2,384,3984,190,16678
Tanzania,59734000,19029,3326,17961,-3,797,2159,444,51771
Thailand,69800000,5538,12921,5402,2,176,2106,142,8322
Timor-Leste,1318000,399,3487,378,1,41,107,5,995
Tinian,3000,12,273,11,-8,,1,1,38
Togo,8279000,22120,396,20888,-3,741,2489,327,44358
Tonga,106000,265,573,185,4,14,41,2,474
Trinidad &amp; Tobago,1399000,10221,138,10112,1,291,1318,132,23364
Turkey,84339000,4875,18071,4667,19,149,1633,63,8658
Turks and Caicos,39000,345,115,338,2,10,49,6,782
Tuvalu,12000,89,174,69,-13,3,3,3,194
Uganda,41892000,9011,4826,8681,4,504,1183,163,21525
