country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,memorial_attendance
Albania,2881000,5642,514,5605,,175,1333,87,12135
American Samoa,55000,180,357,154,-8,4,29,3,595
Andorra,77000,179,445,173,1,3,11,3,332
Angola,31825000,165631,199,159758,7,13490,24685,2269,696384
Anguilla,15000,67,234,64,2,,11,1,288
Antigua,97000,475,214,454,-2,12,42,7,1392
Argentina,44781000,154673,292,153203,2,4917,24422,1976,330166
Armenia,2958000,10924,276,10702,-2,294,2102,129,20968
Aruba,106000,1097,98,1078,3,28,110,14,3084
Australia,25203000,68646,372,67816,,1367,6935,762,118279
Austria,8955000,21614,417,21483,,308,1759,298,34213
Azerbaijan,9982000,1490,6937,1439,2,77,346,14,3053
Azores,243000,795,320,759,3,26,118,15,1622
Bahamas,389000,1776,229,1695,1,61,251,28,4977
Bangladesh,163046000,324,517606,315,5,14,151,6,980
Barbados,287000,2439,119,2414,-1,26,181,30,6190
Belarus,9452000,6211,1541,6132,3,208,1312,81,10140
Belgium,11431000,25173,459,24923,,513,2028,336,42925
Belize,390000,2702,148,2642,1,133,541,61,8306
Benin,11801000,14203,884,13346,4,805,1804,225,45475
Bermuda,63000,483,146,432,3,4,83,5,851
Bolivia,11513000,28732,407,28255,3,1129,7288,427,94104
Bonaire,20000,131,165,121,-3,,17,2,370
Bosnia and Herzegovina,3301000,1065,3159,1045,-3,9,175,17,1794
Botswana,2339000,2251,1052,2223,,103,331,47,6707
Brazil,210396000,893784,240,875987,2,32943,116547,12408,1922286
Britain,64345000,137029,478,134718,,2409,14706,1618,222033
Bulgaria,7000000,2556,2773,2524,1,77,677,52,5444
Burkina Faso,20321000,2042,11283,1801,2,100,268,48,4851
Burundi,11531000,15565,783,14734,6,927,2310,271,61157
Cambodia,16487000,1182,14188,1162,2,54,637,17,3033
Cameroon,25876000,45092,616,41998,3,2071,5502,500,101818
Canada,37411000,115634,326,114591,,1935,13449,1326,186020
Cape Verde,550000,2327,241,2283,2,79,397,35,8377
Cayman Islands,65000,274,247,263,7,1,39,3,730
Central African Republic,4745000,2901,1727,2747,2,178,298,58,18890
Chad,15947000,887,18608,857,4,69,73,19,4765
Chile,18952000,82305,236,80475,3,2461,13689,955,184610
Chuuk,49000,48,1195,41,-7,2,13,2,207
Colombia,50339000,187229,274,183945,4,6754,27861,2248,567889
Congo Dem. Republic of,86791000,243146,386,225009,2,17800,21347,3880,1264290
Congo Republic of,5381000,8808,651,8260,10,732,970,98,34754
Cook Islands,18000,206,96,188,2,8,30,3,549
Costa Rica,5048000,32125,159,31798,2,1181,3807,446,71472
Côte d’Ivoire,25717000,12194,2159,11913,4,531,1645,325,75755
Croatia,4130000,4965,850,4858,-2,64,434,58,7843
Cuba,11333000,94873,120,94628,,2923,9532,1457,223403
Curaçao,163000,2060,81,2024,,75,226,26,5605
Cyprus,1199000,2704,448,2675,2,32,451,43,4966
Czech Republic,10669000,15471,693,15396,,254,1287,213,26748
Denmark,5814000,14622,399,14555,,247,1143,173,20756
Dominica,72000,442,175,411,4,11,57,10,1561
Dominican Republic,10739000,38754,283,37974,1,1402,7171,572,116498
Ecuador,17374000,100038,178,97454,3,4175,18462,1154,290701
El Salvador,6454000,40392,161,40017,-1,1053,4898,701,86133
Equatorial Guinea,1356000,2586,598,2267,11,205,311,25,8989
Estonia,1325000,4012,333,3979,,63,522,57,6199
Eswatini,1148000,3354,352,3261,2,49,334,80,9248
Ethiopia,112079000,10760,10652,10522,2,418,2336,219,25543
Falkland Islands,3000,15,214,14,8,,1,1,31
Faroe Islands,52000,131,409,127,9,1,31,4,235
Fiji,890000,3151,289,3082,3,131,518,80,11186
Finland,5524000,18260,304,18178,,281,2116,285,25064
France,65130000,131078,502,129820,1,3240,15615,1610,222855
French Guiana,291000,2842,106,2754,5,181,429,47,11318
Gabon,2173000,4869,493,4410,4,204,602,57,13288
Gambia,2348000,238,10344,227,5,10,36,5,637
