country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,memorial_attendance
Georgia,3724000,18021,208,17865,-1,489,3242,215,31451
Germany,83517000,165393,508,164363,,2869,14571,2091,267562
Ghana,30418000,144570,218,139792,3,6257,15539,2167,381212
Gibraltar,34000,137,264,129,4,1,17,2,162
Greece,10722000,28171,382,28089,,717,4071,358,45637
Greenland,56000,153,389,144,-9,,31,5,315
Grenada,112000,550,213,526,-4,7,69,10,1487
Guadeloupe,400000,8376,49,8143,,208,716,121,19385
Guam,167000,767,223,748,3,19,172,10,1900
Guatemala,17581000,40525,438,40154,,1406,6603,873,98161
Guinea,12771000,1031,12620,1012,8,69,125,23,4243
Guinea-Bissau,1921000,191,10440,184,11,15,51,3,699
Guyana,783000,3293,248,3155,2,139,493,50,13942
Haiti,11263000,20433,570,19768,1,981,2662,276,87267
Honduras,9746000,23016,428,22767,,819,4091,439,63652
Hong Kong,7524000,5617,1348,5583,2,441,1180,64,9349
Hungary,9773000,21256,464,21060,-1,408,1832,293,37992
Iceland,357000,390,957,373,,2,56,7,741
India,1366418000,49743,27752,49236,4,2512,7797,692,137439
Indonesia,270626000,29107,9605,28177,3,1046,4450,514,58878
Ireland,6802000,7059,994,6845,2,134,1114,121,11818
Israel,9260000,1879,5044,1836,4,58,329,32,3166
Italy,60550000,251303,242,250538,,4278,37512,2892,414595
Jamaica,2948000,11334,266,11090,-1,334,1408,174,34703
Japan,126860000,212651,597,212438,,2118,66100,2991,291206
Kazakhstan,18551000,17485,1072,17307,,479,3959,262,30516
Kenya,52574000,29935,1833,28681,3,1445,3648,647,78322
Kiribati,118000,134,952,124,-7,2,32,3,438
Korea Republic of,51709000,102456,507,101970,1,1800,45242,1266,136891
Kosovo,1796000,267,6803,264,2,6,120,8,594
Kosrae,7000,20,412,17,6,,5,1,96
Kyrgyzstan,6390000,5300,1226,5214,1,192,1233,85,10489
Latvia,1920000,2188,896,2142,-2,46,324,33,3367
Lesotho,2125000,4365,506,4202,3,257,545,93,12087
Liberia,4937000,7851,715,6904,4,411,722,145,52616
Liechtenstein,38000,91,427,89,2,2,4,1,159
Lithuania,2794000,2977,948,2948,-2,55,446,46,4682
Luxembourg,616000,2156,290,2123,,27,197,31,3802
Macao,672000,358,1948,345,8,4,102,4,810
Madagascar,26969000,37730,732,36847,7,3591,6385,832,146622
Madeira,254000,1157,221,1149,2,32,129,20,1868
Malawi,18629000,102773,196,95229,2,6103,7374,1636,342426
Malaysia,31950000,5521,5862,5450,5,204,1579,120,13492
Mali,19658000,361,59570,330,7,26,58,7,1345
Malta,494000,769,660,748,-2,12,96,10,1344
Marshall Islands,59000,158,421,140,-11,3,24,4,771
Martinique,376000,4780,80,4688,-1,118,594,61,10317
Mauritius,1270000,1910,676,1879,1,68,208,27,4322
Mayotte,266000,188,1486,179,6,8,54,3,427
Mexico,127576000,874491,148,862590,1,30403,138474,13074,2258524
Moldova,3157000,18808,170,18584,-2,436,2199,208,32872
Mongolia,3225000,471,7026,459,4,13,217,9,1433
Montenegro,628000,279,2309,272,3,7,64,5,536
Montserrat,5000,39,147,34,10,,19,1,216
Mozambique,30366000,67758,463,65593,9,7162,6114,1315,334110
Myanmar,54330000,4821,11564,4698,7,206,831,91,10437
Namibia,2495000,2647,1007,2477,3,133,296,46,8629
Nauru,11000,21,647,17,,2,2,1,102
Nepal,28609000,2659,10890,2627,1,136,890,42,6995
Netherlands,17097000,29525,583,29305,,628,2116,352,49159
Nevis,12000,74,176,68,10,,3,1,223
New Caledonia,283000,2536,115,2458,3,124,276,33,7050
New Zealand,4783000,14201,341,14027,1,294,1391,183,26856
Nicaragua,6546000,29567,227,28896,1,1598,4411,468,87706
Niger,23311000,322,76430,305,-1,3,42,9,924
Nigeria,200964000,402541,546,367876,2,14239,41038,6566,835850
Niue,2000,22,100,20,-5,,2,1,53
Norfolk Island,2000,7,333,6,-14,,1,1,23
North Macedonia,2083000,1287,1640,1270,,27,168,23,2752
Norway,5346000,11809,456,11727,1,204,1189,167,17536
Pakistan,216565000,1122,210053,1031,1,50,82,20,4259
Palau,18000,83,234,77,7,2,12,2,239
Palestinian Territories,4981000,63,83017,60,-3,,9,2,130
Panama,4246000,18068,240,17662,1,621,2988,323,54878
Papua New Guinea,8776000,5281,1829,4797,13,160,617,118,43275
Paraguay,7045000,10988,656,10738,2,439,1977,234,25805
Peru,32510000,132559,252,128834,2,4855,28724,1562,398335
Philippines,108117000,222911,489,220996,3,10264,48212,3472,612911
Pohnpei,36000,55,692,52,-9,,15,1,170
Poland,37973000,115229,332,114542,-1,1560,8435,1277,177379
Portugal,9780000,49692,198,49286,1,1117,4864,652,88099
Puerto Rico,2933000,23656,127,23147,1,477,3804,237,45314
Réunion,889000,3340,270,3296,1,146,453,41,6557
Rodrigues,38000,62,667,57,6,4,16,1,202
Romania,19365000,39389,493,39265,-1,775,4167,540,74476
Rota,2500,9,313,8,-11,,3,1,21
Rwanda,12374000,30723,423,29236,5,2046,5298,553,95239
Saba,2000,13,167,12,33,,3,,74
St. Barthélemy,10000,35,357,28,17,,5,1,84
St. Eustatius,3000,28,111,27,,,3,1,124
St. Helena,4000,114,36,110,-3,2,,3,253
St. Kitts,35000,222,164,214,4,5,30,3,695
St. Lucia,183000,819,233,786,,19,117,11,2091
St. Maarten,42000,333,131,321,-2,17,40,6,1158
St. Martin,38000,299,147,259,-2,5,23,5,1072
St. Pierre and Miquelon,6000,10,600,10,,,6,1,14
St. Vincent &amp; the Grenadines,111000,322,356,312,-3,4,41,8,1080
Saipan,48000,230,222,216,2,14,40,3,509
Samoa,197000,557,373,528,1,26,109,12,2492
San Marino,34000,201,172,198,3,,47,2,323
São Tomé and Príncipe,215000,924,241,893,4,69,141,14,3631
Senegal,16296000,1376,12143,1342,2,48,180,29,2859
Serbia,6964000,3943,1811,3845,,95,659,64,7750
Seychelles,98000,340,302,324,2,8,37,5,979
Sierra Leone,7813000,2465,3427,2280,2,123,316,41,9272
Slovakia,5452000,11147,493,11054,-1,188,899,132,20910
Slovenia,2084000,1825,1155,1804,-1,26,250,30,2857
Solomon Islands,670000,2053,353,1896,-1,115,219,51,10203
South Africa,58780000,104451,568,103430,,4473,13299,2056,281511
South Sudan,11062000,1595,8098,1366,10,128,192,32,7187
Spain,46737000,116118,406,115099,2,2441,17464,1485,192303
Sri Lanka,21324000,6669,3272,6518,3,150,813,116,15409
Sudan,42813000,662,67000,639,4,45,115,14,2297
Suriname,581000,3149,187,3102,1,151,356,58,10980
Sweden,10281000,22311,464,22166,,295,2480,295,34897
Switzerland,8591000,19281,451,19058,1,251,1421,270,31108
Tahiti,282000,3273,87,3243,1,124,496,46,9571
Taiwan,23774000,11284,2137,11126,5,430,3862,188,20794
Tanzania,58005000,19459,3127,18547,4,1146,2075,446,62398
Thailand,69626000,5392,13127,5304,6,270,2096,136,10700
Timor-Leste,1293000,392,3466,373,8,45,91,5,981
Tinian,3100,13,258,12,-14,,1,1,41
Togo,8082000,22691,374,21621,3,1470,2353,318,67573
Tonga,104000,211,584,178,-1,4,35,2,624
Trinidad &amp; Tobago,1395000,10146,139,10037,1,346,1328,131,25478
Turkey,83430000,4221,21213,3933,19,141,1205,52,7786
Turks and Caicos,38000,346,114,333,2,10,48,6,1141
Tuvalu,12000,93,152,79,1,3,5,1,221
Uganda,44270000,8652,5303,8348,6,603,1164,164,31284
Ukraine,43994000,129310,344,128070,-2,2804,17777,1520,208844
United States,329065000,1237054,273,1207438,,28611,182882,12594,2416752
Uruguay,3462000,12109,291,11887,1,367,1306,151,23581
Vanuatu,300000,788,431,696,1,42,97,17,3065
Venezuela,28516000,137052,209,136245,-4,7445,30110,1743,470857
Virgin Islands British,30000,241,132,228,-3,,35,4,733
Virgin Islands U.S.,105000,588,190,554,-2,13,114,9,2012
Wallis &amp; Futuna Islands,11000,63,208,53,15,2,3,1,221
Yap,11000,54,324,34,31,4,10,1,142
Zambia,17861000,223720,87,206397,4,16167,17531,3402,979338
Zimbabwe,14645000,50403,305,47980,3,3258,7341,1271,122790
33 Other Lands,,213205,,210920,-2.1,4477,42896,3323,320885
